,Movie,Netflix Result,404,URL
2873,The Bait,Found,YES,https://www.netflix.com/fk/title/70248258
2900,The Brave,Found,YES,https://www.netflix.com/ca/title/80182216
2916,The Cell,Found,YES,https://www.netflix.com/gr-en/title/60001368
2930,The Creative Brain,Found,YES,https://www.netflix.com/fk/title/81090128
2954,The Dreamer,Found,YES,https://www.netflix.com/jp-en/title/60031542
2972,The Final Destination,Found,YES,https://www.netflix.com/jp-en/title/70113006
3028,The Humanity Bureau,Found,YES,https://www.netflix.com/title/80218939
3038,The International,Found,YES,https://www.netflix.com/nc-en/title/70105936
3039,The International,Found,YES,https://www.netflix.com/nc-en/title/70105936
3056,The King's Speech,Found,YES,https://www.netflix.com/it-en/title/70135893
3087,The Little Mermaid,Found,YES,https://www.netflix.com/title/80166319
3129,The Naked Gun 2½: The Smell of Fear,Found,YES,https://www.netflix.com/be-en/title/60001808
3130,The Naked Gun: From the Files of Police Squad!,Found,YES,https://www.netflix.com/be-en/title/60001807
3131,The Natural,Found,YES,https://www.netflix.com/ca/title/793907
3132,Then Came You,Found,YES,https://www.netflix.com/fk/title/80203143
3157,The Perfect Day,Found,YES,https://www.netflix.com/ni-en/title/80058723
3181,The Real Miyagi,Found,YES,https://www.netflix.com/title/80094358
3208,The Same Blood,Found,YES,https://www.netflix.com/se-en/title/80141770
3217,The Secrets of Emily Blair,Found,YES,https://www.netflix.com/kz/Title/80091070
3236,The Square,Found,YES,https://www.netflix.com/be-en/title/80191371
3239,The Stanford Prison Experiment,Found,YES,https://www.netflix.com/title/80038159
3301,This Was Tomorrow,Found,YES,https://www.netflix.com/ch-en/title/60034574
3308,Thunderbolt,Found,YES,https://www.netflix.com/tw-en/title/70043780
3367,Transcendence,Found,YES,https://www.netflix.com/ro-en/title/70266675
3368,Transformer,Found,YES,https://www.netflix.com/ca/title/70058026
3401,Twice,Found,YES,https://www.netflix.com/kr-en/title/70259261
3407,Tyke Elephant Outlaw,Found,YES,https://www.netflix.com/pn/title/80066806
3488,Waiting,Found,YES,https://www.netflix.com/ca/title/70038129
3527,What are the Odds?,Found,YES,https://www.netflix.com/pf-en/title/234365
3528,What a Wonderful Family!,Found,YES,https://www.netflix.com/jp-en/title/80127498
3534,What's Up with Love?,Found,YES,https://www.netflix.com/sg/title/81016319
3542,When Hari Got Married,Found,YES,https://www.netflix.com/lu-en/Title/80145086
